Wavelength (nm),SPD1,SPD2,Difference in Number,Difference in Percentage (%),x1 (Chromaticity SPD1),y1 (Chromaticity SPD1),x2 (Chromaticity SPD2),y2 (Chromaticity SPD2)
426,-0.02195,-0.0439,-0.02195,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
427,-0.02735,-0.0547,-0.02735,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
428,-0.0299,-0.0598,-0.0299,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
429,-0.0335,-0.067,-0.0335,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
430,-0.0385,-0.077,-0.0385,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
431,-0.04485,-0.0897,-0.04485,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
432,-0.049,-0.098,-0.049,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
433,-0.05485,-0.1097,-0.05485,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
434,-0.06265,-0.1253,-0.06265,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
435,-0.07465,-0.1493,-0.07465,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
436,-0.08355,-0.1671,-0.08355,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
437,-0.0957,-0.1914,-0.0957,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
438,-0.1133,-0.2266,-0.1133,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
439,-0.13205,-0.2641,-0.13205,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
440,-0.14955,-0.2991,-0.14955,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
441,-0.1742,-0.3484,-0.1742,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
442,-0.20125,-0.4025,-0.20125,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
443,-0.24145,-0.4829,-0.24145,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
444,-0.28725,-0.5745,-0.28725,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
445,-0.3417,-0.6834,-0.3417,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
446,-0.41135,-0.8227,-0.41135,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
447,-0.49025,-0.9805,-0.49025,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
448,-0.5818,-1.1636,-0.5818,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
449,-0.69455,-1.3891,-0.69455,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
450,-0.83605,-1.6721,-0.83605,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
451,-0.97965,-1.9593,-0.97965,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
452,-1.1806,-2.3612,-1.1806,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
453,-1.3857,-2.7714,-1.3857,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
454,-1.6337,-3.2674,-1.6337,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
455,-1.9246,-3.8492,-1.9246,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
456,-2.25085,-4.5017,-2.25085,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
457,-2.61515,-5.2303,-2.61515,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
458,-3.01845,-6.0369,-3.01845,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
459,-3.44835,-6.8967,-3.44835,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
460,-3.8926,-7.7852,-3.8926,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
461,-4.3642,-8.7284,-4.3642,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
462,-4.78035,-9.5607,-4.78035,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
463,-5.1428,-10.2856,-5.1428,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
464,-5.41345,-10.8269,-5.41345,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
465,-5.60305,-11.2061,-5.60305,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
466,-5.59735,-11.1947,-5.59735,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
467,-5.49665,-10.9933,-5.49665,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
468,-5.2148,-10.4296,-5.2148,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
469,-4.8481,-9.6962,-4.8481,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
470,-4.41375,-8.8275,-4.41375,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
